iteration,exploitability,graph,total_time,total_learn_time
1,1.598932190923898,Graf0,101.65429306030273,69.69974207878113
2,0.5444242056797469,Graf0,203.87826299667358,149.26286625862122
3,0.27594860505888674,Graf0,307.3633258342743,228.51752543449402
4,0.24419202747036284,Graf0,414.91883969306946,308.5410153865814
5,0.11745340990417952,Graf0,519.3539595603943,381.0326566696167
6,0.07084839129052134,Graf0,619.9583215713501,450.4789810180664
7,0.028491251122192418,Graf0,713.9627265930176,521.1130130290985
8,0.08998772052780157,Graf0,807.5904836654663,591.7943649291992
9,0.04399565655404525,Graf0,910.2421295642853,663.5374934673309
10,0.03780715697523984,Graf0,1014.2837252616882,737.838285446167
11,0.006227052070393757,Graf0,1108.6237063407898,808.395391702652
