iteration,graph,exploitability,init_time,total_time
0,Graf0,1.0693630970838761,0.00012521743774414064,0.0052719593048095705
8,Graf0,0.3629505204757929,0.00012521743774414064,0.032971525192260744
16,Graf0,0.25648886294589157,0.00012521743774414064,0.06157054901123047
24,Graf0,0.24663855943900437,0.00012521743774414064,0.09232778549194336
32,Graf0,0.16865834489908785,0.00012521743774414064,0.12272086143493652
40,Graf0,0.15234001527487856,0.00012521743774414064,0.15332322120666503
48,Graf0,0.15469250248803096,0.00012521743774414064,0.18341526985168458
56,Graf0,0.1406244454154471,0.00012521743774414064,0.21188969612121583
64,Graf0,0.13080375310730877,0.00012521743774414064,0.23937587738037108
72,Graf0,0.12602610624540272,0.00012521743774414064,0.26764445304870604
80,Graf0,0.12188140351956785,0.00012521743774414064,0.2985501766204834
88,Graf0,0.11689557272656814,0.00012521743774414064,0.3298677921295166
96,Graf0,0.1095009746031705,0.00012521743774414064,0.36300506591796877
104,Graf0,0.09020541295180548,0.00012521743774414064,0.39583797454833985
112,Graf0,0.07346965496812449,0.00012521743774414064,0.4274622440338135
120,Graf0,0.07119927302679946,0.00012521743774414064,0.4572478771209717
128,Graf0,0.08137323392606599,0.00012521743774414064,0.48714613914489746
136,Graf0,0.10580455200440282,0.00012521743774414064,0.5152464866638183
144,Graf0,0.11099246792152687,0.00012521743774414064,0.5434230327606201
152,Graf0,0.09942258541318334,0.00012521743774414064,0.5696494579315186
160,Graf0,0.09441787293992361,0.00012521743774414064,0.5970097541809082
168,Graf0,0.08834892925500969,0.00012521743774414064,0.6272553920745849
176,Graf0,0.08634725717382515,0.00012521743774414064,0.6546015262603759
184,Graf0,0.09673495101433134,0.00012803077697753906,0.6855501532554626
192,Graf0,0.09142156441211569,0.00012803077697753906,0.7131347060203552
200,Graf0,0.09103845917047187,0.00012803077697753906,0.74142986536026
208,Graf0,0.09054216947239341,0.00012803077697753906,0.7695022225379944
216,Graf0,0.08950149931231519,0.00012803077697753906,0.798049807548523
224,Graf0,0.08944674175299515,0.00012803077697753906,0.8267772197723389
232,Graf0,0.08939487026223418,0.00012803077697753906,0.8559118509292603
240,Graf0,0.08648438461887667,0.00012803077697753906,0.8833034634590149
248,Graf0,0.08105480365430279,0.00012803077697753906,0.9117680788040161
256,Graf0,0.07621516083922468,0.00012803077697753906,0.9427189230918884
264,Graf0,0.06853277467998828,0.00012803077697753906,0.9733973741531372
272,Graf0,0.05839313674920335,0.00012803077697753906,1.0010600090026855
280,Graf0,0.0685631132746865,0.00013264020284016928,1.0398112138112385
288,Graf0,0.07187448747317837,0.00013264020284016928,1.0695944627126057
296,Graf0,0.0755555102708978,0.00013264020284016928,1.0973154703776042
304,Graf0,0.07612786873992909,0.00013264020284016928,1.1256345113118489
312,Graf0,0.07762043388996237,0.00013264020284016928,1.15382981300354
320,Graf0,0.08066207502771466,0.00013264020284016928,1.182541290918986
328,Graf0,0.08265491468187713,0.00013264020284016928,1.209811766942342
336,Graf0,0.08160672353500358,0.00013264020284016928,1.2380811373392742
344,Graf0,0.08251705383423798,0.00013264020284016928,1.2664544582366943
352,Graf0,0.08690018457336661,0.00013264020284016928,1.295251448949178
360,Graf0,0.08957945505258347,0.00013264020284016928,1.3247766494750977
368,Graf0,0.09126196784282499,0.00013264020284016928,1.3535350958506267
376,Graf0,0.09133182802763244,0.00013264020284016928,1.383918046951294
384,Graf0,0.09189224334330053,0.00013264020284016928,1.4109480381011963
392,Graf0,0.09268999858998761,0.00013264020284016928,1.439212163289388
400,Graf0,0.09326584884969502,0.00013264020284016928,1.4652736981709797
408,Graf0,0.09618741453977882,0.00013264020284016928,1.491532325744629
416,Graf0,0.09456895110333685,0.00013264020284016928,1.517903248469035
424,Graf0,0.092789232933422,0.00013264020284016928,1.5450232823689778
432,Graf0,0.09107481405430817,0.00013264020284016928,1.57162610689799
440,Graf0,0.08933531218876993,0.00013264020284016928,1.5994796752929688
448,Graf0,0.0868545913557639,0.00013264020284016928,1.62625519434611
456,Graf0,0.084070820665247,0.00013264020284016928,1.6551055908203125
464,Graf0,0.081861538767681,0.00013264020284016928,1.684388796488444
472,Graf0,0.08132594616574401,0.00013264020284016928,1.715303897857666
480,Graf0,0.08080818008265611,0.00013264020284016928,1.745399792989095
488,Graf0,0.08001943433644887,0.00013264020284016928,1.7771917184193928
496,Graf0,0.07839689147967875,0.00013264020284016928,1.8076382478078206
504,Graf0,0.07663738364975443,0.00013264020284016928,1.839563528696696
512,Graf0,0.07490097383882555,0.00013264020284016928,1.8734869162241619
520,Graf0,0.07213447203939487,0.00013264020284016928,1.9039721488952637
528,Graf0,0.06853701753977076,0.00013264020284016928,1.9363431930541992
536,Graf0,0.06513320923299333,0.00013264020284016928,1.9676137765248616
544,Graf0,0.06342743842866772,0.00013264020284016928,2.000239292780558
552,Graf0,0.06095751228670191,0.00013264020284016928,2.031766096750895
560,Graf0,0.05782441081777856,0.00013264020284016928,2.062781492869059
568,Graf0,0.05420286371272772,0.00013264020284016928,2.0948657989501953
576,Graf0,0.051530269719557285,0.00013264020284016928,2.12774395942688
584,Graf0,0.04614839311436817,0.00013264020284016928,2.1597019036610923
592,Graf0,0.041025193091605204,0.00013264020284016928,2.1902968088785806
600,Graf0,0.03801269499571713,0.00013264020284016928,2.2204178174336753
608,Graf0,0.036112769984596706,0.00013264020284016928,2.2521689732869468
616,Graf0,0.030044943833066773,0.00013264020284016928,2.2810794512430825
624,Graf0,0.030814286430737303,0.00013589859008789062,2.3350670337677
632,Graf0,0.048174997615786364,0.00012087821960449219,2.0893685817718506
640,Graf0,0.05388710752528114,0.00012087821960449219,2.1148314476013184
648,Graf0,0.05884982619746326,0.00012087821960449219,2.137032985687256
656,Graf0,0.06275243449510404,0.00012087821960449219,2.1648261547088623
664,Graf0,0.06597042582478607,0.00012087821960449219,2.1921424865722656
672,Graf0,0.06838133876905284,0.00012087821960449219,2.2173991203308105
680,Graf0,0.06973355550059124,0.00012087821960449219,2.2441859245300293
688,Graf0,0.06936158103503487,0.00012087821960449219,2.2726006507873535
696,Graf0,0.06856546532037722,0.00012087821960449219,2.304104804992676
704,Graf0,0.06778741748028205,0.00012087821960449219,2.3347342014312744
712,Graf0,0.06702682934149418,0.00012087821960449219,2.364150285720825
720,Graf0,0.06628311971906231,0.00012087821960449219,2.38771390914917
728,Graf0,0.06555573294166273,0.00012087821960449219,2.414208173751831
736,Graf0,0.06484413746481343,0.00012087821960449219,2.4452121257781982
744,Graf0,0.06414782457732537,0.00012087821960449219,2.4764442443847656
752,Graf0,0.06346630717741719,0.00012087821960449219,2.5050196647644043
760,Graf0,0.06279911866215349,0.00012087821960449219,2.5346782207489014
768,Graf0,0.0613265438702999,0.00012087821960449219,2.5613861083984375
776,Graf0,0.05894442611226913,0.00012087821960449219,2.619584083557129
784,Graf0,0.05593519991204465,0.00012087821960449219,2.647001266479492
