iteration,graph,exploitability,init_tid,total_time
0,,1.3280764604848248,0.00011396408081054688,0.003258943557739258
8,,0.3471328054078488,0.00011396408081054688,0.028208255767822266
16,,0.16169085769650143,0.00011396408081054688,0.05948162078857422
24,,0.2806804011662178,0.00011396408081054688,0.0848085880279541
32,,0.1362737291182019,0.00011396408081054688,0.10944104194641113
40,,0.1096837289458672,0.00011396408081054688,0.14113950729370117
48,,0.08909226047275359,0.00011396408081054688,0.17507195472717285
56,,0.06449898553090361,0.00011396408081054688,0.20622491836547852
64,,0.05061913304412158,0.00011396408081054688,0.23407912254333496
72,,0.06168707461723144,0.00011396408081054688,0.2615067958831787
80,,0.07634473723124935,0.00011396408081054688,0.2908785343170166
88,,0.07973152224253177,0.00011396408081054688,0.31906819343566895
96,,0.07509056342838472,0.00011396408081054688,0.3533141613006592
104,,0.06394839757546111,0.00011396408081054688,0.3863234519958496
112,,0.06175889094813791,0.00011396408081054688,0.41642260551452637
120,,0.07149815226341916,0.00011396408081054688,0.4447751045227051
128,,0.07810361596155058,0.00011396408081054688,0.4758446216583252
136,,0.10584103544571144,0.00011396408081054688,0.502633810043335
144,,0.09662503051415072,0.00011396408081054688,0.5313096046447754
152,,0.06788406470460373,0.00011396408081054688,0.5544612407684326
160,,0.051832370456779575,0.00011396408081054688,0.5793623924255371
168,,0.02795369513315704,0.00011396408081054688,0.6104390621185303
176,,0.007517521391009363,0.00011396408081054688,0.6394033432006836
