iteration,exploitability,graph,total_time,learn_time
1,1.1255577753284083,Graf0,30.34785294532776,21.164772272109985
2,0.590502590767255,Graf0,64.82075691223145,46.33261442184448
3,0.4619044739564543,Graf0,101.42978978157043,72.38450169563293
4,0.44339650522308227,Graf0,140.02351784706116,98.67394137382507
5,0.18755940575376923,Graf0,176.34320378303528,125.43551325798035
6,0.16076138473709978,Graf0,212.8968358039856,152.68880414962769
7,0.10825973485600104,Graf0,248.45118069648743,179.54282474517822
8,0.14872491711931768,Graf0,284.4037289619446,206.7481083869934
9,0.16497634663831662,Graf0,321.2366371154785,234.04006695747375
10,0.1382947607574685,Graf0,359.54306745529175,262.7971839904785
11,0.21896090575816618,Graf0,397.3788561820984,291.4796028137207
12,0.19102711042868348,Graf0,435.85336232185364,320.3113329410553
13,0.10943262368342077,Graf0,473.3849973678589,348.61934757232666
14,0.1270593894126688,Graf0,511.6677813529968,376.77744936943054
15,0.11268911402534476,Graf0,550.9383814334869,404.8003041744232
16,0.0910493956549544,Graf0,591.2434575557709,433.7347173690796
17,0.04388978705166091,Graf0,631.2821934223175,462.281046628952
18,0.08718027966785746,Graf0,672.3615076541901,491.90885162353516
19,0.06233161096832551,Graf0,709.2607915401459,519.1026241779327
20,0.031044198107269882,Graf0,746.520471572876,546.5127539634705
21,0.03288553021215446,Graf0,783.9691376686096,573.4540779590607
22,0.03775118212036377,Graf0,828.7362875938416,608.0724608898163
23,0.0529354360079306,Graf0,885.6513192653656,654.5395457744598
24,0.038610838316298635,Graf0,974.7884912490845,714.2751638889313
25,0.019137017323394345,Graf0,1063.5026950836182,775.1813411712646
