iteration,exploitability,graph,init_time,total_time
1,1.2204444444444444,Graf0,0.15000224113464355,0.307969331741333
4,0.4614866406841281,Graf0,0.15000224113464355,0.7374725341796875
7,0.234105859152769,Graf0,0.15000224113464355,1.1342546939849854
10,0.11491589001528263,Graf0,0.15000224113464355,1.452662706375122
13,0.14279656553219394,Graf0,0.15000224113464355,1.926023006439209
16,0.11170123442913765,Graf0,0.15000224113464355,2.3993167877197266
19,0.06956418497699979,Graf0,0.15000224113464355,2.721341848373413
22,0.06755217002855385,Graf0,0.15000224113464355,3.1941139698028564
25,0.07060982033799335,Graf0,0.15000224113464355,3.66789174079895
28,0.06548583803809505,Graf0,0.15000224113464355,4.064691543579102
31,0.042709339922569756,Graf0,0.15000224113464355,4.461944818496704
34,0.043236874630556255,Graf0,0.15000224113464355,4.937765121459961
37,0.04945992722822301,Graf0,0.15000224113464355,5.412332534790039
40,0.04904498485607611,Graf0,0.15000224113464355,5.809782266616821
43,0.0341106171142167,Graf0,0.15000224113464355,6.207017183303833
46,0.02921411478721736,Graf0,0.15000224113464355,6.679519176483154
49,0.03438571096861809,Graf0,0.15000224113464355,7.15427303314209
52,0.040895730577057865,Graf0,0.15000224113464355,7.655609130859375
55,0.03260515230490879,Graf0,0.15000224113464355,8.053427457809448
58,0.024747611672216063,Graf0,0.15000224113464355,8.52660584449768
61,0.02415506588611105,Graf0,0.15000224113464355,8.99901270866394
64,0.029209636191963373,Graf0,0.15000224113464355,9.471301794052124
67,0.03295332128197059,Graf0,0.15000224113464355,9.94335389137268
70,0.026541758752168132,Graf0,0.15000224113464355,10.416159868240356
73,0.02067775192622201,Graf0,0.15000224113464355,10.888694763183594
76,0.01978717795019158,Graf0,0.15000224113464355,11.361641645431519
