iteration,exploitability,graph,total_time,learn_time
1,0.7281218158429883,Graf0,76.61177396774292,52.329758167266846
2,0.3062793503505832,Graf0,158.31852388381958,112.44118189811707
3,0.2609131345944743,Graf0,251.29770469665527,179.07258892059326
4,0.10358258873399956,Graf0,352.5429017543793,247.3404197692871
5,0.15752743148914128,Graf0,457.1581075191498,317.31591796875
6,0.06327060321242972,Graf0,540.3992075920105,377.6078796386719
7,0.1139312840186969,Graf0,627.0366244316101,439.39271354675293
8,0.06564996898402564,Graf0,723.2879762649536,504.4403214454651
9,0.05675746730797038,Graf0,815.3780510425568,565.99609541893
10,0.08765678574575153,Graf0,901.5350549221039,629.373735666275
11,0.07016381308413144,Graf0,986.4344711303711,693.0609464645386
12,0.09537181872068667,Graf0,1077.059496164322,760.5060803890228
13,0.11224280743699433,Graf0,1169.152331829071,826.3781952857971
14,0.0930045540862624,Graf0,1264.0148599147797,891.9708495140076
15,0.05641070174918561,Graf0,1363.7685327529907,960.6966686248779
16,0.027607517976367957,Graf0,1465.5292818546295,1030.8851606845856
17,0.01693335626503889,Graf0,1558.3675990104675,1099.6780033111572
