iteration,iteration_time,exploitability,graph,init_t
0,0.0011758804321289062,1.3333333333333335,/Test0,0.00044035911560058594
10,0.031050443649291992,0.3030305840219619,/Test0,0.00044035911560058594
20,0.029556751251220703,0.15873032653058816,/Test0,0.00044035911560058594
30,0.03065204620361328,0.10752700034684948,/Test0,0.00044035911560058594
40,0.03250932693481445,0.08130090462025907,/Test0,0.00044035911560058594
50,0.04494047164916992,0.06535955171087604,/Test0,0.00044035911560058594
60,0.030773639678955078,0.05464487162948717,/Test0,0.00044035911560058594
70,0.030244112014770508,0.04694841116180437,/Test0,0.00044035911560058594
80,0.033762216567993164,0.04115231123304208,/Test0,0.00044035911560058594
90,0.03011345863342285,0.03663007937849572,/Test0,0.00044035911560058594
100,0.031314849853515625,0.03300333895369634,/Test0,0.00044035911560058594
