iteration,graph,average_exploitability,average_init_time,average_total_time
0,L_Graf2,0.5565204828702863,0.0014606475830078124,3.091359043121338
8,L_Graf2,0.1763848183951585,0.0014606475830078124,27.46094059944153
16,L_Graf2,0.07527189914486761,0.0014606475830078124,51.89646396636963
24,L_Graf2,0.05767003185223071,0.001367032527923584,76.58123379945755
32,L_Graf2,0.04580435605679131,0.001367032527923584,100.983618080616
40,L_Graf2,0.04612580040853567,0.001367032527923584,125.38683205842972
48,L_Graf2,0.030337573807148105,0.001367032527923584,149.80489295721054
56,L_Graf2,0.031010719443032502,0.001530011494954427,174.8727548122406
64,L_Graf2,0.024885686444924615,0.001530011494954427,199.3589833577474
72,L_Graf2,0.021520878318069998,0.001530011494954427,223.95013976097107
80,L_Graf2,0.0201611477722079,0.001530011494954427,248.5323750178019
88,L_Graf2,0.019102848300867448,0.0016194581985473633,272.63594377040863
