iteration,average_exploitability,graph,init_t,average_total_time
1,0.5055524417009601,Graf2,6.428291082382202,12.745460033416748
4,0.12638811042524,Graf2,6.428291082382202,31.72234082221985
7,0.07222177738585145,Graf2,6.428291082382202,50.76474380493164
10,0.050555244170096006,Graf2,6.428291082382202,70.01240658760071
13,0.03888864936161232,Graf2,6.428291082382202,89.12145137786865
16,0.03159702760631,Graf2,6.428291082382202,108.18896770477295
19,0.026608023247418955,Graf2,6.428291082382202,127.26286458969116
22,0.022979656440952727,Graf2,6.428291082382202,146.26570463180542
25,0.020222097668038404,Graf2,6.428291082382202,165.35836958885193
28,0.018055444346462862,Graf2,6.428291082382202,184.5023901462555
