iteration,exploitability,average_total_time
0,0.2553029738074454,L_Graf2,0
1,0.2553029738074454,L_Graf2,26.959815979003906
2,0.11861475748846972,L_Graf2,59.17727994918823
3,0.14334504726068642,L_Graf2,89.3947103023529
4,0.1262070970022543,L_Graf2,115.30685234069824
5,0.18182625112734407,L_Graf2,145.96329259872437
6,0.11149291852996124,L_Graf2,175.6025514602661
7,0.06131596640101522,L_Graf2,198.48670935630798
8,0.08085532198849288,L_Graf2,224.09298539161682
9,0.06302679633816366,L_Graf2,251.16885828971863
10,0.135187392138013,L_Graf2,273.57597827911377
11,0.06994833147915858,L_Graf2,296.7069113254547
12,0.11256066231946815,L_Graf2,312.59791016578674
