iteration,average_exploitability,graph,init_t,average_total_time
1,0.9099943950617284,L_Graf2.csv,6.343444108963013,12.539023160934448
4,0.2274985987654321,L_Graf2.csv,6.343444108963013,31.54686141014099
7,0.12999919929453263,L_Graf2.csv,6.343444108963013,50.58923673629761
10,0.09099943950617306,L_Graf2.csv,6.343444108963013,69.43667387962341
13,0.0699995688509022,L_Graf2.csv,6.343444108963013,88.41569542884827
16,0.05687464969135814,L_Graf2.csv,6.343444108963013,107.32577466964722
19,0.047894441845354185,L_Graf2.csv,6.343444108963013,126.31495428085327
22,0.04136338159371489,L_Graf2.csv,6.343444108963013,145.2079668045044
25,0.036399775802469225,L_Graf2.csv,6.343444108963013,164.08461785316467
28,0.03249979982363338,L_Graf2.csv,6.343444108963013,182.90371680259705
31,0.029354657905217074,L_Graf2.csv,6.343444108963013,201.78091979026794
34,0.026764541031227385,L_Graf2.csv,6.343444108963013,220.60755109786987
37,0.02459444310977643,L_Graf2.csv,6.343444108963013,239.42217874526978
40,0.0227498598765431,L_Graf2.csv,6.343444108963013,258.25830364227295
43,0.02116266035027259,L_Graf2.csv,6.343444108963013,277.15512776374817
46,0.019782486849168057,L_Graf2.csv,6.343444108963013,296.06050968170166
