iteration,exploitability,graph,total_time,total_learn_time
1,1.8141194581121,Graf1,947.0384109020233,87.94676160812378
11,0.39375854137642274,Graf1,10073.765677928925,1027.6905555725098
21,0.24322130044506896,Graf1,21234.123954057693,3052.1620140075684
31,0.25320603905436256,Graf1,31258.760604143143,4942.614502906799
41,0.34590396438311954,Graf1,41759.46179819107,7896.913335561752
51,0.35025907414641516,Graf1,52828.70399713516,11458.22438120842
61,0.2694130857843605,Graf1,61478.9873008728,14464.784487247467
71,0.36677375373769683,Graf1,71812.87104392052,19031.496148109436
