iteration,graph,exploitability,average_init_time,total_time
0,Graf1,1.1199707107595434,0.00034885406494140626,0.19981656074523926
1000,Graf1,0.14555970754814898,0.00034885406494140626,137.75227093696594
2000,Graf1,0.08708259376761598,0.00034885406494140626,282.6170660495758
3000,Graf1,0.07612422022979709,0.00034885406494140626,414.43660287857057
4000,Graf1,0.0611118320342699,0.00034885406494140626,536.7775435447693
5000,Graf1,0.049550518585823565,0.00034885406494140626,667.0269781112671
6000,Graf1,0.040564227095351194,0.00034885406494140626,794.2948425292968
7000,Graf1,0.048582597817117434,0.0004057884216308594,906.2176120877266
8000,Graf1,0.04505912357120512,0.0004057884216308594,1011.0003117322922
9000,Graf1,0.044642497060665406,0.0004057884216308594,1115.2889621257782
10000,Graf1,0.04545809266764084,0.0004057884216308594,1214.2521844506264
11000,Graf1,0.03372694007303101,0.0004057884216308594,1321.4072164297104
12000,Graf1,0.041832101518477355,0.0004057884216308594,1426.2098539471626
13000,Graf1,0.04189364569575578,0.0004057884216308594,1535.4435227513313
14000,Graf1,0.034953302725165,0.0004057884216308594,1642.12424659729
15000,Graf1,0.03205396526539803,0.0004057884216308594,1744.9611053466797
16000,Graf1,0.031927260971091456,0.0004057884216308594,1850.568648815155
17000,Graf1,0.028640888051684785,0.0004057884216308594,1962.116089940071
18000,Graf1,0.02814627715795641,0.0004057884216308594,2064.958788752556
19000,Graf1,0.03282461051602023,0.0004057884216308594,2172.5060732364655
20000,Graf1,0.026466802776741058,0.0004057884216308594,2279.9145634174347
21000,Graf1,0.027131081676072533,0.0004057884216308594,2383.3227238059044
22000,Graf1,0.027127182588883886,0.0004057884216308594,2491.6832442879677
23000,Graf1,0.02719788936344436,0.0005003611246744791,2578.777962843577
24000,Graf1,0.0326652175459331,0.0005003611246744791,2683.440682490667
25000,Graf1,0.027594532747112415,0.0005003611246744791,2791.0345617135367
26000,Graf1,0.026006806402011695,0.0005003611246744791,2892.262964407603
27000,Graf1,0.026662475014411286,0.0005003611246744791,3001.576047261556
28000,Graf1,0.028045660846386766,0.0005003611246744791,3106.1879620552063
29000,Graf1,0.023895946013935465,0.0005003611246744791,3206.041380008062
30000,Graf1,0.028754908581391958,0.0005003611246744791,3309.2806679407754
31000,Graf1,0.025371071907298332,0.0005003611246744791,3414.0356800556183
32000,Graf1,0.025589505450989092,0.0005003611246744791,3517.4937926133475
33000,Graf1,0.023403881251696085,0.0005003611246744791,3608.9089086055756
34000,Graf1,0.020225126657835785,0.0005003611246744791,3703.3685013453164
35000,Graf1,0.021899454303216437,0.00030994415283203125,3845.159346342087
36000,Graf1,0.02292645530462334,0.00030994415283203125,3929.8300025463104
37000,Graf1,0.019384305873814178,0.00030994415283203125,3992.3957250118256
