iteration,exploitability,total_time,learn_time,graph
1,1.4034777603557924,1148.6476087093354,106.21278476715088,Graf1
11,0.465340918678799,10122.46444106102,1028.5863758087157,Graf1
21,0.36206563917444357,21826.20654215813,3200.6293901920317,Graf1
31,0.3661349104722551,31207.96195998192,5324.791655826569,Graf1
41,0.36454023569607263,40449.99824852943,8099.068268918991,Graf1
51,0.3850010037882504,49122.32986879349,10662.48886795044,Graf1
61,0.33490712259210687,58316.77041492462,13526.574585342407,Graf1
71,0.36255540297301236,69381.44547905921,18490.4286072731,Graf1
