iteration,exploitability,graph,total_time,total_learn_time
1,0.9962414472767799,Graf1,1322.1134741306305,118.2862319946289
11,0.2954861558933112,Graf1,10636.72493815422,1046.532305240631
21,0.540622937617683,Graf1,21852.766322135925,3086.3869593143463
31,0.3567853378223018,Graf1,30279.864917993546,5255.8549020290375
41,0.46526804043171,Graf1,39788.4064412117,7744.959467172623
51,0.3544606161090563,Graf1,46367.88416862488,9751.33990764618
61,0.3501188049463875,Graf1,54236.93230032921,12641.3280107975
71,0.270661213324471,Graf1,65910.20142245293,17681.65031147003
