iteration,average_exploitability,graph,init_time,average_total_time
1,1.3311497122556584,Graf1,381.13740706443787,763.0111911296844
4,0.6763534639289976,Graf1,381.13740706443787,1067.2328951358795
7,0.5124478821199401,Graf1,381.13740706443787,1105.3421831130981
10,0.4337829639821059,Graf1,381.13740706443787,1138.0931160449982
13,0.4550028104771603,Graf1,381.13740706443787,1173.1686189174652
16,0.2901198661943254,Graf1,381.13740706443787,1227.7359671592712
19,0.2578427380926382,Graf1,381.13740706443787,1274.592491388321
22,0.2252157183167417,Graf1,381.13740706443787,1316.6630601882935
25,0.18454572281041226,Graf1,381.13740706443787,1348.5410771369934
28,0.13580183039567706,Graf1,381.13740706443787,1380.244952917099
31,0.18973251093675675,Graf1,381.13740706443787,1414.3139562606812
34,0.1571019054368229,Graf1,381.13740706443787,1464.2340970039368
37,0.16341811067922823,Graf1,381.13740706443787,1518.0270256996155
40,0.15172867449649702,Graf1,381.13740706443787,1564.844075202942
43,0.14419825969210065,Graf1,381.13740706443787,1613.7146100997925
46,0.1392461860938744,Graf1,381.13740706443787,1662.7830319404602
49,0.11443458894536157,Graf1,381.13740706443787,1705.1370174884796
52,0.10174084375025638,Graf1,381.13740706443787,1744.3110718727112
55,0.08834607054512716,Graf1,381.13740706443787,1783.5208148956299
58,0.08280557189494153,Graf1,381.13740706443787,1824.090010881424
61,0.08656902503051961,Graf1,381.13740706443787,1864.793685913086
64,0.11637206305314557,Graf1,381.13740706443787,1908.0034234523773
67,0.10310422426683274,Graf1,381.13740706443787,1946.951584815979
70,0.08971542508139463,Graf1,381.13740706443787,1979.8659880161285
73,0.1063038496300176,Graf1,381.13740706443787,2005.1894245147705
76,0.11261083012974327,Graf1,381.13740706443787,2040.8810794353485
79,0.09627140637926501,Graf1,381.13740706443787,2059.295760154724
82,0.07206832260230794,Graf1,381.13740706443787,2078.9241046905518
85,0.0742012171030243,Graf1,381.13740706443787,2103.8486177921295
88,0.07951406268771255,Graf1,381.13740706443787,2123.3659451007843
91,0.08530312092669501,Graf1,381.13740706443787,2153.6834013462067
94,0.08453604222135708,Graf1,381.13740706443787,2188.26793384552
97,0.07409207801409973,Graf1,381.13740706443787,2216.519555091858
100,0.06247474577345541,Graf1,381.13740706443787,2246.419323205948
103,0.07054840835343157,Graf1,381.13740706443787,2274.7452795505524
106,0.08291597024732489,Graf1,381.13740706443787,2303.184433698654
109,0.09445768445908703,Graf1,381.13740706443787,2331.0355563163757
112,0.09100472410535698,Graf1,381.13740706443787,2362.673135280609
115,0.07775364596700929,Graf1,381.13740706443787,2382.716207742691
118,0.06590825409913526,Graf1,381.13740706443787,2403.772276163101
121,0.06424608034090523,Graf1,381.13740706443787,2427.317748069763
124,0.055438214400900854,Graf1,381.13740706443787,2450.7934925556183
127,0.04737914660694492,Graf1,381.13740706443787,2469.7859029769897
130,0.05989676390561244,Graf1,381.13740706443787,2489.3856871128082
133,0.06341838187943494,Graf1,381.13740706443787,2514.2151498794556
136,0.0611152156148102,Graf1,381.13740706443787,2552.54106092453
139,0.049608793854404254,Graf1,381.13740706443787,2587.8936603069305
142,0.04440503652486599,Graf1,381.13740706443787,2620.051451444626
145,0.04962730805363025,Graf1,381.13740706443787,2650.1313903331757
148,0.050303090556803376,Graf1,381.13740706443787,2680.1976380348206
151,0.05430813580504312,Graf1,381.13740706443787,2712.322578191757
154,0.06350500296517858,Graf1,381.13740706443787,2744.519421339035
157,0.06664737773509471,Graf1,381.13740706443787,2777.086320877075
160,0.06901759873195779,Graf1,381.13740706443787,2813.1670818328857
163,0.06411936007393382,Graf1,381.13740706443787,2841.881191968918
166,0.05685916206981195,Graf1,381.13740706443787,2868.0952208042145
