iteration,graph,exploitability,init_tid,total_time
0,Graf1,0.5475285495114249,0.00012111663818359375,0.17953228950500488
1000,Graf1,0.084241332701536,0.00012111663818359375,133.92484402656555
2000,Graf1,0.06386972321384243,0.00012111663818359375,276.94721484184265
3000,Graf1,0.052772423710642336,0.00012111663818359375,404.3555498123169
4000,Graf1,0.03134691239126802,0.00012111663818359375,521.3624310493469
5000,Graf1,0.04642005620260209,0.00012111663818359375,644.8899734020233
6000,Graf1,0.0192109548186849,0.00012111663818359375,768.8091559410095
