iteration,graph,exploitability,init_tid,total_time
0,Graf1,0.9881525006385175,0.00030994415283203125,0.19742417335510254
1000,Graf1,0.17221057744695967,0.00030994415283203125,136.05016207695007
2000,Graf1,0.07775098448582324,0.00030994415283203125,262.8641107082367
3000,Graf1,0.09419633161017077,0.00030994415283203125,378.81730461120605
4000,Graf1,0.07545830489502398,0.00030994415283203125,493.5191550254822
5000,Graf1,0.044769575730075895,0.00030994415283203125,606.3617920875549
6000,Graf1,0.03677441350962657,0.00030994415283203125,711.3452129364014
7000,Graf1,0.02422722085441037,0.00030994415283203125,802.9494640827179
8000,Graf1,0.036636253493946114,0.00030994415283203125,905.3711566925049
9000,Graf1,0.02980143652349615,0.00030994415283203125,1009.3427841663361
10000,Graf1,0.03842547496550852,0.00030994415283203125,1102.014729499817
11000,Graf1,0.03018245715579887,0.00030994415283203125,1221.1694157123566
12000,Graf1,0.03541147239415021,0.00030994415283203125,1337.9665076732635
13000,Graf1,0.055733482859129824,0.00030994415283203125,1447.1077871322632
14000,Graf1,0.05059590973666395,0.00030994415283203125,1561.4677095413208
15000,Graf1,0.03839901062852513,0.00030994415283203125,1677.5969202518463
16000,Graf1,0.031909812460681974,0.00030994415283203125,1783.8421852588654
17000,Graf1,0.025670920999151248,0.00030994415283203125,1899.2547795772552
18000,Graf1,0.022241905421837016,0.00030994415283203125,2014.8454949855804
19000,Graf1,0.027990073129842974,0.00030994415283203125,2127.0947301387787
20000,Graf1,0.021801610071625455,0.00030994415283203125,2240.521817445755
21000,Graf1,0.03251567447537668,0.00030994415283203125,2358.5924513339996
22000,Graf1,0.03325130104338958,0.00030994415283203125,2468.6320428848267
23000,Graf1,0.03049819724315922,0.00030994415283203125,2566.52943611145
24000,Graf1,0.03716097339943686,0.00030994415283203125,2687.3105008602142
25000,Graf1,0.022548020907392774,0.00030994415283203125,2818.780704021454
26000,Graf1,0.022666342818984775,0.00030994415283203125,2903.792666196823
27000,Graf1,0.027561329240771093,0.00030994415283203125,3009.530204772949
28000,Graf1,0.02981949949277274,0.00030994415283203125,3130.504272699356
29000,Graf1,0.025601376445020474,0.00030994415283203125,3236.2720024585724
30000,Graf1,0.03406121991277378,0.00030994415283203125,3334.5817532539368
31000,Graf1,0.024216002827540717,0.00030994415283203125,3443.183792591095
32000,Graf1,0.02833584530782096,0.00030994415283203125,3558.952579498291
33000,Graf1,0.02477239437777795,0.00030994415283203125,3649.6040337085724
34000,Graf1,0.02545744746556844,0.00030994415283203125,3751.0849339962006
35000,Graf1,0.021899454303216437,0.00030994415283203125,3845.159346342087
36000,Graf1,0.02292645530462334,0.00030994415283203125,3929.8300025463104
37000,Graf1,0.019384305873814178,0.00030994415283203125,3992.3957250118256
