iteration,average_exploitability,graph,init_t,average_total_time
0,0.7131812221257714,L_Graf3.csv,0,0
1,0.7131812221257714,L_Graf3.csv,214.7597451210022,423.38940501213074
4,0.17829530553144285,L_Graf3.csv,214.7597451210022,1046.901699066162
7,0.1018830317322531,L_Graf3.csv,214.7597451210022,1678.4582595825195
10,0.07131812221257727,L_Graf3.csv,214.7597451210022,2311.2686247825623
13,0.05486009400967479,L_Graf3.csv,214.7597451210022,2945.5682508945465
16,0.044573826382860726,L_Graf3.csv,214.7597451210022,3580.235301733017
19,0.03753585379609331,L_Graf3.csv,214.7597451210022,4217.4114582538605
22,0.03241732827844418,L_Graf3.csv,214.7597451210022,4852.0545082092285
25,0.02852724888503083,L_Graf3.csv,214.7597451210022,5488.649603366852
28,0.025470757933063137,L_Graf3.csv,214.7597451210022,6126.71006321907
31,0.02300584587502491,L_Graf3.csv,214.7597451210022,6802.140939950943
34,0.02097591829781681,L_Graf3.csv,214.7597451210022,7540.683377981186
37,0.019275168165561407,L_Graf3.csv,214.7597451210022,8261.07269001007
